Rank,NAME,Population
7,Alameda,1661584
58,Alpine,1159
46,Amador,39023
27,Butte,223344
44,Calaveras,45828
50,Colusa,21491
9,Contra Costa,1147788
49,Del Norte,27692
29,El Dorado,190345
10,Fresno,990204
48,Glenn,28060
35,Humboldt,136101
30,Imperial,180580
52,Inyo,17930
11,Kern,892458
33,Kings,151090
40,Lake,64276
47,Lassen,30600
1,Los Angeles,10040682
32,Madera,155925
26,Marin,259441
53,Mariposa,17319
38,Mendocino,87110
24,Merced,273661
56,Modoc,8853
54,Mono,14395
21,Monterey,432977
34,Napa,138572
36,Nevada,99417
3,Orange,3170345
22,Placer,391799
51,Plumas,18844
4,Riverside,2437864
8,Sacramento,1537948
42,San Benito,61547
5,San Bernardino,2162532
2,San Diego,3323970
12,San Francisco,874784
15,San Joaquin,751615
23,San Luis Obispo,282517
14,San Mateo,765623
19,Santa Barbara,444895
6,Santa Clara,1924379
25,Santa Cruz,273170
31,Shasta,179267
57,Sierra,2898
45,Siskiyou,43516
20,Solano,444538
17,Sonoma,496801
16,Stanislaus,546235
37,Sutter,96315
41,Tehama,64176
55,Trinity,12541
18,Tulare,463955
43,Tuolumne,54147
13,Ventura,845599
28,Yolo,218774
39,Yuba,77524
